meeting_date,dissent_text
2002-09-24,"Edward M. Gramlich and Robert D. McTeer, Jr."
2003-06-25,Robert T. Parry. President Parry preferred a 50 basis point reduction in the target for the federal funds rate.
2005-09-20,"Mark W. Olson, who preferred no change in the federal funds rate target at this meeting."
2006-08-08,"Jeffrey M. Lacker, who preferred an increase of 25 basis points in the federal funds rate target at this meeting."
2006-09-20,"Jeffrey M. Lacker, who preferred an increase of 25 basis points in the federal funds rate target at this meeting."
2006-10-25,"Jeffrey M. Lacker, who preferred an increase of 25 basis points in the federal funds rate target at this meeting."
2006-12-12,"Jeffrey M. Lacker, who preferred an increase of 25 basis points in the federal funds rate target at this meeting."
2007-10-31,"Thomas M. Hoenig, who preferred no change in the federal funds rate at this meeting."
2007-12-11,"Eric S. Rosengren, who preferred to lower the target for the federal funds rate by 50 basis points at this meeting."
2008-01-30,"Richard W. Fisher, who preferred no change in the target for the federal funds rate at this meeting."
2008-03-18,"Richard W. Fisher and Charles I. Plosser, who preferred less aggressive action at this meeting."
2008-04-30,"Richard W. Fisher and Charles I. Plosser, who preferred no change in the target for the federal funds rate at this meeting."
2008-06-25,"Richard W. Fisher, who preferred an increase in the target for the federal funds rate at this meeting."
2008-08-05,"Richard W. Fisher, who preferred an increase in the target for the federal funds rate at this meeting."
2009-01-28,"Jeffrey M. Lacker, who preferred to expand the monetary base at this time by purchasing U.S. Treasury securities rather than through targeted credit programs."
2010-01-27,"Thomas M. Hoenig, who believed that economic and financial conditions had changed sufficiently that the expectation of exceptionally low levels of the federal funds rate for an extended period was no longer warranted."
2010-03-16,"Thomas M. Hoenig, who believed that continuing to express the expectation of exceptionally low levels of the federal funds rate for an extended period was no longer warranted because it could lead to the buildup of financial imbalances and increase risks to longer-run macroeconomic and financial stability."
2010-04-28,"Thomas M. Hoenig, who believed that continuing to express the expectation of exceptionally low levels of the federal funds rate for an extended period was no longer warranted because it could lead to a build-up of future imbalances and increase risks to longer run macroeconomic and financial stability, while limiting the Committee's flexibility to begin raising rates modestly."
2010-06-23,"Thomas M. Hoenig, who believed that continuing to express the expectation of exceptionally low levels of the federal funds rate for an extended period was no longer warranted because it could lead to a build-up of future imbalances and increase risks to longer-run macroeconomic and financial stability, while limiting the Committee's flexibility to begin raising rates modestly."
2010-08-10,"Thomas M. Hoenig, who judges that the economy is recovering modestly, as projected. Accordingly, he believed that continuing to express the expectation of exceptionally low levels of the federal funds rate for an extended period was no longer warranted and limits the Committee's ability to adjust policy when needed. In addition, Mr. Hoenig did not believe that keeping constant the size of the Federal Reserve's holdings of longer-term securities at their current level was required."
2010-09-21,"Thomas M. Hoenig, who judged that the economy continues to recover at a moderate pace. Accordingly, he believed that continuing to express the expectation of exceptionally low levels of the federal funds rate for an extended period was no longer warranted and will lead to future imbalances that undermine stable long-run growth. In addition, Mr. Hoenig did not believe that continuing to reinvest principal payments from its securities holdings was required."
2010-11-03,"Thomas M. Hoenig. Mr. Hoenig believed the risks of additional securities purchases outweighed the benefits. Mr. Hoenig also was concerned that this continued high level of monetary accommodation increased the risks of future financial imbalances and, over time, would cause an increase in long-term inflation expectations that could destabilize the economy."
2010-12-14,"Thomas M. Hoenig. In light of the improving economy, Mr. Hoenig was concerned that a continued high level of monetary accommodation would increase the risks of future economic and financial imbalances and, over time, would cause an increase in long-term inflation expectations that could destabilize the economy."
2011-08-09,"Richard W. Fisher, Narayana Kocherlakota, and Charles I. Plosser, who would have preferred to continue to describe economic conditions as likely to warrant exceptionally low levels for the federal funds rate for an extended period."
2011-09-21,"Richard W. Fisher, Narayana Kocherlakota, and Charles I. Plosser, who did not support additional policy accommodation at this time."
2011-11-02,"Charles L. Evans, who supported additional policy accommodation at this time."
2011-12-13,"Charles L. Evans, who supported additional policy accommodation at this time."
2012-01-25,"Jeffrey M. Lacker, who preferred to omit the description of the time period over which economic conditions are likely to warrant exceptionally low levels of the federal funds rate."
2012-03-13,"Jeffrey M. Lacker, who does not anticipate that economic conditions are likely to warrant exceptionally low levels of the federal funds rate through late 2014."
2012-04-25,"Jeffrey M. Lacker, who does not anticipate that economic conditions are likely to warrant exceptionally low levels of the federal funds rate through late 2014."
2012-06-20,"Jeffrey M. Lacker, who opposed continuation of the maturity extension program."
2012-08-01,"Jeffrey M. Lacker, who preferred to omit the description of the time period over which economic conditions are likely to warrant an exceptionally low level of the federal funds rate."
2012-09-13,"Jeffrey M. Lacker, who opposed additional asset purchases and preferred to omit the description of the time period over which exceptionally low levels for the federal funds rate are likely to be warranted."
2012-10-24,"Jeffrey M. Lacker, who opposed additional asset purchases and disagreed with the description of the time period over which a highly accommodative stance of monetary policy will remain appropriate."
2012-12-12,"Jeffrey M. Lacker, who opposed the asset purchase program and the characterization of the conditions under which an exceptionally low range for the federal funds rate will be appropriate."
2013-01-30,"Esther L. George, who was concerned that the continued high level of monetary accommodation increased the risks of future economic and financial imbalances and, over time, could cause an increase in long-term inflation expectations."
2013-03-20,"Esther L. George, who was concerned that the continued high level of monetary accommodation increased the risks of future economic and financial imbalances and, over time, could cause an increase in long-term inflation expectations."
2013-05-01,"Esther L. George, who was concerned that the continued high level of monetary accommodation increased the risks of future economic and financial imbalances and, over time, could cause an increase in long-term inflation expectations."
2013-06-19,"James Bullard, who believed that the Committee should signal more strongly its willingness to defend its inflation goal in light of recent low inflation readings, and Esther L. George, who was concerned that the continued high level of monetary accommodation increased the risks of future economic and financial imbalances."
2013-07-31,"Esther L. George, who was concerned that the continued high level of monetary accommodation increased the risks of future economic and financial imbalances and, over time, could cause an increase in long-term inflation expectations."
2013-09-18,"Esther L. George, who was concerned that the continued high level of monetary accommodation increased the risks of future economic and financial imbalances and, over time, could cause an increase in long-term inflation expectations."
2013-10-30,"Esther L. George, who was concerned that the continued high level of monetary accommodation increased the risks of future economic and financial imbalances and, over time, could cause an increase in long-term inflation expectations."
2013-12-18,"Eric S. Rosengren, who believes that, with the unemployment rate still elevated and the inflation rate well below the target, changes in the purchase program are premature until incoming data more clearly indicate that economic growth is likely to be sustained above its potential rate."
2014-03-19,"Narayana Kocherlakota, who supported the sixth paragraph, but believed the fifth paragraph weakens the credibility of the Committee's commitment to return inflation to the 2 percent target from below and fosters policy uncertainty that hinders economic activity."
2014-07-30,"Charles I. Plosser, who objected to the guidance indicating that it likely will be appropriate to maintain the current target range for the federal funds rate for ""a considerable time after the asset purchase program ends,"" because such language is time dependent."
2014-09-17,"Richard W. Fisher and Charles I. Plosser. President Fisher believed that the continued strengthening of the real economy, improved outlook for labor utilization and for general price stability, and continued signs of financial market excess, will likely warrant an earlier reduction in monetary accommodation than is suggested by the Committee's stated forward guidance. President Plosser objected to the ""considerable time"" guidance."
2014-10-29,"Narayana Kocherlakota, who believed that, in light of continued sluggishness in the inflation outlook and the recent slide in market-based measures of longer-term inflation expectations, the Committee should commit to keeping the current target range at least until the one-to-two-year ahead inflation outlook has returned to 2 percent."
2014-12-17,"Richard W. Fisher, who believed improvement in U.S. economic performance since October has moved forward the date when it will likely be appropriate to increase the federal funds rate; Narayana Kocherlakota, who believed the Committee's decision created undue downside risk to the credibility of the 2 percent inflation target; and Charles I. Plosser, who believed the statement should not stress the ""considerable time"" language."
